method,run_pair,pairwise_ARI
Seurat,run3_vs_run86,0.997318580526135
Seurat,run3_vs_run87,0.948770435503663
Seurat,run3_vs_run88,0.99592581905393
Seurat,run3_vs_run89,0.948225615872638
Seurat,run3_vs_run90,0.996347331014247
Seurat,run3_vs_run91,0.997739986486507
Seurat,run3_vs_run92,0.997318580526135
Seurat,run3_vs_run93,0.999577871720683
Seurat,run3_vs_run94,0.948225615872638
Seurat,run3_vs_run95,0.997739986486507
Seurat,run3_vs_run96,0.99592581905393
Seurat,run3_vs_run97,0.997739986486507
Seurat,run3_vs_run98,0.99592581905393
Seurat,run3_vs_run99,0.948225615872638
Seurat,run4_vs_run5,0.998601253148603
Seurat,run4_vs_run6,1
Seurat,run4_vs_run7,0.99592434607097
Seurat,run4_vs_run8,0.999903598350261
Seurat,run4_vs_run9,1
Seurat,run4_vs_run10,0.998601253148603
Seurat,run4_vs_run11,0.998601253148603
Seurat,run4_vs_run12,0.942097806947699
Seurat,run4_vs_run13,1
Seurat,run4_vs_run14,0.997739986486507
Seurat,run4_vs_run15,0.950438946219212
Seurat,run4_vs_run16,0.998601253148603
Seurat,run4_vs_run17,0.997694850386276
Seurat,run4_vs_run18,0.997694850386276
Seurat,run4_vs_run19,0.998601253148603
Seurat,run4_vs_run20,0.998179843694053
Seurat,run4_vs_run21,0.998601253148603
Seurat,run4_vs_run22,0.998601253148603
Seurat,run4_vs_run23,0.998601253148603
Seurat,run4_vs_run24,0.996413062749881
Seurat,run4_vs_run25,0.998601253148603
Seurat,run4_vs_run26,0.99957869547608
Seurat,run4_vs_run27,0.998601253148603
Seurat,run4_vs_run28,0.998601253148603
Seurat,run4_vs_run29,0.99592434607097
Seurat,run4_vs_run30,0.998179843694053
Seurat,run4_vs_run31,0.994429006274474
Seurat,run4_vs_run32,0.952361636249774
Seurat,run4_vs_run33,0.998601253148603
Seurat,run4_vs_run34,0.997739986486507
Seurat,run4_vs_run35,0.998179843694053
Seurat,run4_vs_run36,0.997739986486507
Seurat,run4_vs_run37,0.99957869547608
Seurat,run4_vs_run38,1
Seurat,run4_vs_run39,0.99957869547608
Seurat,run4_vs_run40,0.997694850386276
Seurat,run4_vs_run41,0.99957869547608
Seurat,run4_vs_run42,0.99957869547608
Seurat,run4_vs_run43,0.994903194598185
Seurat,run4_vs_run44,1
Seurat,run4_vs_run45,1
Seurat,run4_vs_run46,0.935499343424471
Seurat,run4_vs_run47,1
Seurat,run4_vs_run48,1
Seurat,run4_vs_run49,0.998179843694053
Seurat,run4_vs_run50,0.999092868119835
Seurat,run4_vs_run51,0.998179843694053
Seurat,run4_vs_run52,0.998601253148603
Seurat,run4_vs_run53,0.99957869547608
Seurat,run4_vs_run54,1
Seurat,run4_vs_run55,0.998601253148603
Seurat,run4_vs_run56,0.951817760899438
Seurat,run4_vs_run57,0.99957869547608
Seurat,run4_vs_run58,0.997739986486507
Seurat,run4_vs_run59,0.94940757154925
Seurat,run4_vs_run60,0.998601253148603
Seurat,run4_vs_run61,0.951459196154137
Seurat,run4_vs_run62,0.99592434607097
Seurat,run4_vs_run63,0.950438946219212
Seurat,run4_vs_run64,1
Seurat,run4_vs_run65,0.998601253148603
Seurat,run4_vs_run66,0.997739986486507
Seurat,run4_vs_run67,0.99671576990057
Seurat,run4_vs_run68,0.998601253148603
Seurat,run4_vs_run69,0.998601253148603
Seurat,run4_vs_run70,0.994901803767524
Seurat,run4_vs_run71,0.976085323008222
Seurat,run4_vs_run72,1
Seurat,run4_vs_run73,0.945703430936466
Seurat,run4_vs_run74,0.998179843694053
Seurat,run4_vs_run75,0.950983218725675
Seurat,run4_vs_run76,1
Seurat,run4_vs_run77,0.950438946219212
Seurat,run4_vs_run78,0.997739986486507
Seurat,run4_vs_run79,0.942097806947699
Seurat,run4_vs_run80,0.99957869547608
Seurat,run4_vs_run81,0.99957869547608
Seurat,run4_vs_run82,0.998601253148603
Seurat,run4_vs_run83,0.997739986486507
Seurat,run4_vs_run84,0.99957869547608
Seurat,run4_vs_run85,0.998601253148603
Seurat,run4_vs_run86,0.99957869547608
Seurat,run4_vs_run87,0.950983218725675
Seurat,run4_vs_run88,0.998179843694053
Seurat,run4_vs_run89,0.950438946219212
Seurat,run4_vs_run90,0.998601253148603
Seurat,run4_vs_run91,1
Seurat,run4_vs_run92,0.99957869547608
Seurat,run4_vs_run93,0.997318580318444
Seurat,run4_vs_run94,0.950438946219212
Seurat,run4_vs_run95,1
Seurat,run4_vs_run96,0.998179843694053
Seurat,run4_vs_run97,1
Seurat,run4_vs_run98,0.998179843694053
Seurat,run4_vs_run99,0.950438946219212
Seurat,run5_vs_run6,0.998601253148603
Seurat,run5_vs_run7,0.997313310138654
Seurat,run5_vs_run8,0.998504722362166
Seurat,run5_vs_run9,0.998601253148603
Seurat,run5_vs_run10,1
Seurat,run5_vs_run11,1
Seurat,run5_vs_run12,0.943399499819876
Seurat,run5_vs_run13,0.998601253148603
Seurat,run5_vs_run14,0.996347331014247
Seurat,run5_vs_run15,0.951753148824276
Seurat,run5_vs_run16,1
Seurat,run5_vs_run17,0.999093854172511
Seurat,run5_vs_run18,0.999093854172511
Seurat,run5_vs_run19,1
Seurat,run5_vs_run20,0.999578101811737
Seurat,run5_vs_run21,1
Seurat,run5_vs_run22,1
Seurat,run5_vs_run23,1
Seurat,run5_vs_run24,0.997810491711086
Seurat,run5_vs_run25,1
Seurat,run5_vs_run26,0.998179843795691
Seurat,run5_vs_run27,1
Seurat,run5_vs_run28,1
Seurat,run5_vs_run29,0.997313310138654
Seurat,run5_vs_run30,0.999578101811737
Seurat,run5_vs_run31,0.995815886708137
Seurat,run5_vs_run32,0.950983970068319
Seurat,run5_vs_run33,1
Seurat,run5_vs_run34,0.996347331014247
Seurat,run5_vs_run35,0.999578101811737
Seurat,run5_vs_run36,0.996347331014247
Seurat,run5_vs_run37,0.998179843795691
Seurat,run5_vs_run38,0.998601253148603
Seurat,run5_vs_run39,0.998179843795691
Seurat,run5_vs_run40,0.999093854172511
Seurat,run5_vs_run41,0.998179843795691
Seurat,run5_vs_run42,0.998179843795691
Seurat,run5_vs_run43,0.996299069085368
Seurat,run5_vs_run44,0.998601253148603
Seurat,run5_vs_run45,0.998601253148603
Seurat,run5_vs_run46,0.934106220659402
Seurat,run5_vs_run47,0.998601253148603
Seurat,run5_vs_run48,0.998601253148603
Seurat,run5_vs_run49,0.999578101811737
Seurat,run5_vs_run50,0.997697107991184
Seurat,run5_vs_run51,0.999578101811737
Seurat,run5_vs_run52,1
Seurat,run5_vs_run53,0.998179843795691
Seurat,run5_vs_run54,0.998601253148603
Seurat,run5_vs_run55,1
Seurat,run5_vs_run56,0.950439705500723
Seurat,run5_vs_run57,0.998179843795691
Seurat,run5_vs_run58,0.996347331014247
Seurat,run5_vs_run59,0.950717387604507
Seurat,run5_vs_run60,1
Seurat,run5_vs_run61,0.950084422308413
Seurat,run5_vs_run62,0.997313310138654
Seurat,run5_vs_run63,0.951753148824276
Seurat,run5_vs_run64,0.998601253148603
Seurat,run5_vs_run65,1
Seurat,run5_vs_run66,0.996347331014247
Seurat,run5_vs_run67,0.995314978108964
Seurat,run5_vs_run68,1
Seurat,run5_vs_run69,1
Seurat,run5_vs_run70,0.996298058041077
Seurat,run5_vs_run71,0.974794144165014
Seurat,run5_vs_run72,0.998601253148603
Seurat,run5_vs_run73,0.94432073566892
Seurat,run5_vs_run74,0.999578101811737
Seurat,run5_vs_run75,0.952297755240363
Seurat,run5_vs_run76,0.998601253148603
Seurat,run5_vs_run77,0.951753148824276
Seurat,run5_vs_run78,0.996347331014247
Seurat,run5_vs_run79,0.943399499819876
Seurat,run5_vs_run80,0.998179843795691
Seurat,run5_vs_run81,0.998179843795691
Seurat,run5_vs_run82,1
Seurat,run5_vs_run83,0.996347331014247
Seurat,run5_vs_run84,0.998179843795691
Seurat,run5_vs_run85,1
Seurat,run5_vs_run86,0.998179843795691
Seurat,run5_vs_run87,0.952297755240363
Seurat,run5_vs_run88,0.999578101811737
Seurat,run5_vs_run89,0.951753148824276
Seurat,run5_vs_run90,1
Seurat,run5_vs_run91,0.998601253148603
Seurat,run5_vs_run92,0.998179843795691
Seurat,run5_vs_run93,0.995925818965866
Seurat,run5_vs_run94,0.951753148824276
Seurat,run5_vs_run95,0.998601253148603
Seurat,run5_vs_run96,0.999578101811737
Seurat,run5_vs_run97,0.998601253148603
Seurat,run5_vs_run98,0.999578101811737
Seurat,run5_vs_run99,0.951753148824276
Seurat,run6_vs_run7,0.99592434607097
Seurat,run6_vs_run8,0.999903598350261
Seurat,run6_vs_run9,1
Seurat,run6_vs_run10,0.998601253148603
Seurat,run6_vs_run11,0.998601253148603
Seurat,run6_vs_run12,0.942097806947699
Seurat,run6_vs_run13,1
Seurat,run6_vs_run14,0.997739986486507
Seurat,run6_vs_run15,0.950438946219212
Seurat,run6_vs_run16,0.998601253148603
Seurat,run6_vs_run17,0.997694850386276
Seurat,run6_vs_run18,0.997694850386276
Seurat,run6_vs_run19,0.998601253148603
Seurat,run6_vs_run20,0.998179843694053
Seurat,run6_vs_run21,0.998601253148603
Seurat,run6_vs_run22,0.998601253148603
Seurat,run6_vs_run23,0.998601253148603
Seurat,run6_vs_run24,0.996413062749881
Seurat,run6_vs_run25,0.998601253148603
Seurat,run6_vs_run26,0.99957869547608
Seurat,run6_vs_run27,0.998601253148603
Seurat,run6_vs_run28,0.998601253148603
Seurat,run6_vs_run29,0.99592434607097
Seurat,run6_vs_run30,0.998179843694053
Seurat,run6_vs_run31,0.994429006274474
